epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4681,0.7977,0.42764,0.84102,0.98728,0.97275,0.99126,0.78861,0.77945,0.41923,0.8286,0.000654321,0.000654321,0.000654321
2,67.6882,0.802,0.42658,0.83672,0.99041,0.96947,0.98809,0.78303,0.7944,0.41781,0.83643,0.00129919,0.00129919,0.00129919
3,102.108,0.79164,0.42681,0.83745,0.98201,0.97676,0.98759,0.79448,0.76729,0.4066,0.82958,0.00192206,0.00192206,0.00192206
4,133.922,0.82298,0.44232,0.83488,0.98441,0.97958,0.98951,0.7895,0.78166,0.41305,0.8287,0.001901,0.001901,0.001901
5,398.491,0.78913,0.42223,0.83301,0.98672,0.9766,0.98911,0.78558,0.84334,0.41645,0.83252,0.001868,0.001868,0.001868
6,512.101,0.78533,0.41949,0.83157,0.98083,0.96947,0.98802,0.77464,0.83556,0.44444,0.83495,0.001835,0.001835,0.001835
7,543.933,0.77904,0.41819,0.83461,0.98453,0.97771,0.99211,0.80402,0.75473,0.39811,0.83222,0.001802,0.001802,0.001802
8,583.187,0.7662,0.41457,0.83114,0.98807,0.97918,0.99014,0.80831,0.74947,0.39307,0.82527,0.001769,0.001769,0.001769
9,648.76,0.7265,0.39753,0.82696,0.9876,0.98192,0.99128,0.81527,0.73153,0.38781,0.82987,0.001736,0.001736,0.001736
10,694.704,0.75897,0.41106,0.8295,0.98692,0.96027,0.98704,0.77518,0.82577,0.45644,0.83662,0.001703,0.001703,0.001703
11,738.937,0.76014,0.40816,0.82609,0.987,0.972,0.9896,0.81641,0.68772,0.39364,0.82661,0.00167,0.00167,0.00167
12,796.339,0.73001,0.39471,0.82487,0.98733,0.9819,0.99041,0.82451,0.68502,0.3759,0.82394,0.001637,0.001637,0.001637
13,848.085,0.74107,0.39305,0.82717,0.97795,0.96409,0.98453,0.78572,0.76445,0.7371,0.8377,0.001604,0.001604,0.001604
14,1003.31,0.7515,0.40147,0.82426,0.97842,0.97291,0.98824,0.80063,0.75624,0.40481,0.84374,0.001571,0.001571,0.001571
15,1046.34,0.75618,0.40356,0.83229,0.98838,0.97983,0.98978,0.77912,0.80327,0.39012,0.83445,0.001538,0.001538,0.001538
16,1087.87,0.73127,0.39541,0.82738,0.98737,0.98019,0.99057,0.79549,0.79577,0.39506,0.83377,0.001505,0.001505,0.001505
17,1148.38,0.72518,0.38643,0.82568,0.98871,0.98258,0.99043,0.80959,0.75439,0.38786,0.82697,0.001472,0.001472,0.001472
18,1196.7,0.69494,0.37941,0.82233,0.98813,0.9814,0.98967,0.80261,0.72132,0.371,0.82537,0.001439,0.001439,0.001439
19,1225,0.67666,0.37338,0.82119,0.98373,0.98423,0.99176,0.81207,0.68514,0.36298,0.82403,0.001406,0.001406,0.001406
20,1291.96,0.67079,0.36837,0.82134,0.98872,0.98241,0.99043,0.82522,0.66102,0.36198,0.82098,0.001373,0.001373,0.001373
21,1376.76,0.69198,0.37065,0.82256,0.9816,0.9815,0.98969,0.79775,0.75015,0.39129,0.82435,0.00134,0.00134,0.00134
22,1566.06,0.71179,0.3796,0.82329,0.99072,0.98209,0.99231,0.81564,0.7252,0.36667,0.82065,0.001307,0.001307,0.001307
23,1601.54,0.69338,0.37211,0.81891,0.98753,0.98456,0.99208,0.82803,0.67409,0.35891,0.82184,0.001274,0.001274,0.001274
24,1647.51,0.68049,0.36958,0.81763,0.98741,0.98271,0.99079,0.81964,0.70447,0.37069,0.82233,0.001241,0.001241,0.001241
25,1788.3,0.64443,0.35401,0.81659,0.99036,0.98393,0.99211,0.83733,0.64896,0.3473,0.81933,0.001208,0.001208,0.001208
