epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1978,2.1976,1.3621,1.19815,0.71528,0.73492,0.7747,0.46249,1.58138,0.90613,0.9789,0.00062,0.00062,0.00062
2,44.8039,1.4948,0.75948,0.91273,0.85259,0.86673,0.90753,0.55931,1.52695,0.79693,0.87415,0.00124753,0.00124753,0.00124753
3,65.131,1.43309,0.71332,0.89422,0.83556,0.8429,0.86363,0.5666,1.32731,0.70175,0.88335,0.00186238,0.00186238,0.00186238
4,85.4273,1.33203,0.66916,0.88189,0.93754,0.86909,0.93029,0.54089,1.38074,0.6541,0.8712,0.0019406,0.0019406,0.0019406
5,104.729,1.32395,0.66246,0.87737,0.92889,0.90745,0.94931,0.63146,1.18944,0.60823,0.86182,0.0019208,0.0019208,0.0019208
6,123.15,1.21273,0.61951,0.86407,0.91667,0.88383,0.93515,0.60958,1.22867,0.64099,0.86103,0.001901,0.001901,0.001901
7,142.697,1.17571,0.59985,0.85876,0.89682,0.8667,0.92178,0.5638,1.37231,0.70945,0.883,0.0018812,0.0018812,0.0018812
8,162.506,1.13838,0.57972,0.85561,0.96611,0.90406,0.96567,0.69699,1.02796,0.53227,0.83423,0.0018614,0.0018614,0.0018614
9,182.297,1.13015,0.56913,0.85359,0.97918,0.89698,0.96415,0.68937,1.00966,0.52593,0.83465,0.0018416,0.0018416,0.0018416
10,201.571,1.10281,0.55924,0.84748,0.96723,0.90666,0.96624,0.71298,0.96564,0.51588,0.83365,0.0018218,0.0018218,0.0018218
11,221.114,1.12085,0.5552,0.84445,0.95513,0.92543,0.96386,0.68906,1.01716,0.51881,0.83556,0.001802,0.001802,0.001802
12,240.02,1.05001,0.5302,0.84055,0.96987,0.92787,0.97268,0.70672,0.99083,0.49254,0.84027,0.0017822,0.0017822,0.0017822
13,259.146,1.02955,0.51949,0.83896,0.96047,0.92202,0.96475,0.70802,1.02302,0.52453,0.83405,0.0017624,0.0017624,0.0017624
14,278.157,1.01586,0.51691,0.83887,0.97414,0.92958,0.97144,0.74455,0.88428,0.49015,0.82662,0.0017426,0.0017426,0.0017426
15,297.698,0.9973,0.51108,0.83465,0.97332,0.92155,0.97333,0.73131,0.95115,0.5011,0.82714,0.0017228,0.0017228,0.0017228
16,317.1,0.9666,0.49539,0.83406,0.97092,0.92297,0.97383,0.70701,0.98636,0.49921,0.83552,0.001703,0.001703,0.001703
17,336.884,0.98823,0.50045,0.83784,0.95031,0.95807,0.97748,0.75456,0.87982,0.45462,0.82529,0.0016832,0.0016832,0.0016832
18,355.761,1.01579,0.50908,0.83765,0.97908,0.92889,0.97664,0.73555,1.02891,0.48353,0.82734,0.0016634,0.0016634,0.0016634
19,376.059,0.92687,0.48174,0.83026,0.96658,0.94376,0.97645,0.74861,0.84459,0.43178,0.82202,0.0016436,0.0016436,0.0016436
20,397.193,0.92082,0.4812,0.83016,0.96691,0.95273,0.98034,0.7695,0.82542,0.43876,0.81997,0.0016238,0.0016238,0.0016238
21,418.088,0.88697,0.46401,0.82794,0.95926,0.95708,0.98106,0.76873,0.86822,0.4413,0.82159,0.001604,0.001604,0.001604
22,437,0.95053,0.47963,0.83135,0.97996,0.91919,0.97478,0.73691,0.94091,0.47022,0.8267,0.0015842,0.0015842,0.0015842
23,458.25,0.91701,0.46887,0.82706,0.96468,0.95747,0.98026,0.72875,1.13608,0.47716,0.82675,0.0015644,0.0015644,0.0015644
24,478.703,0.9321,0.47282,0.827,0.96571,0.95831,0.98046,0.7326,1.03398,0.48464,0.82036,0.0015446,0.0015446,0.0015446
25,502.883,0.88686,0.45935,0.82685,0.96199,0.95605,0.98009,0.76612,0.91824,0.45833,0.81901,0.0015248,0.0015248,0.0015248
26,522.822,0.85156,0.4471,0.82305,0.96761,0.94471,0.97992,0.77329,0.84628,0.43623,0.81861,0.001505,0.001505,0.001505
27,539.326,0.84474,0.4414,0.82038,0.96484,0.94943,0.98031,0.78087,0.78107,0.42545,0.81708,0.0014852,0.0014852,0.0014852
28,548.34,0.91608,0.45432,0.82914,0.96675,0.94811,0.97907,0.7614,0.88977,0.43367,0.81973,0.0014654,0.0014654,0.0014654
29,557.239,0.86691,0.44384,0.82079,0.96236,0.95038,0.97888,0.76981,0.83623,0.43998,0.82114,0.0014456,0.0014456,0.0014456
30,566.02,0.85411,0.43761,0.82215,0.97308,0.94754,0.98014,0.789,0.80088,0.41274,0.81722,0.0014258,0.0014258,0.0014258
31,574.911,0.86992,0.43609,0.8199,0.97128,0.95879,0.98156,0.78503,0.78282,0.41403,0.8163,0.001406,0.001406,0.001406
32,584.289,0.85673,0.438,0.82293,0.97274,0.94441,0.98002,0.77624,0.81199,0.43191,0.81806,0.0013862,0.0013862,0.0013862
33,593.101,0.90428,0.44822,0.82607,0.9748,0.95049,0.98081,0.76257,0.83479,0.43068,0.82109,0.0013664,0.0013664,0.0013664
34,601.903,0.90934,0.45181,0.8239,0.97388,0.95888,0.98148,0.7414,0.94881,0.44013,0.82185,0.0013466,0.0013466,0.0013466
35,610.903,0.8398,0.43163,0.82226,0.97887,0.94423,0.98012,0.77809,0.8111,0.41449,0.8158,0.0013268,0.0013268,0.0013268
36,619.923,0.84224,0.42761,0.82285,0.97755,0.94651,0.98058,0.77792,0.82963,0.41775,0.81839,0.001307,0.001307,0.001307
37,628.898,0.80329,0.4172,0.81736,0.97904,0.94906,0.98145,0.79242,0.75905,0.41113,0.8142,0.0012872,0.0012872,0.0012872
38,637.743,0.80688,0.42145,0.81772,0.9834,0.94423,0.98127,0.7932,0.75889,0.39917,0.81523,0.0012674,0.0012674,0.0012674
39,646.689,0.75335,0.40416,0.81618,0.98244,0.95163,0.98167,0.79596,0.79734,0.40278,0.81313,0.0012476,0.0012476,0.0012476
40,655.691,0.78179,0.41186,0.81816,0.98138,0.94666,0.9807,0.78295,0.77119,0.40708,0.81558,0.0012278,0.0012278,0.0012278
41,664.719,0.77142,0.41035,0.81515,0.98568,0.94323,0.98089,0.79209,0.75002,0.39361,0.81457,0.001208,0.001208,0.001208
42,673.691,0.76906,0.40219,0.81532,0.98387,0.95118,0.98193,0.80177,0.71366,0.38635,0.81336,0.0011882,0.0011882,0.0011882
43,682.75,0.78531,0.4036,0.81586,0.97486,0.95652,0.98118,0.78734,0.77296,0.4018,0.81357,0.0011684,0.0011684,0.0011684
44,691.662,0.80331,0.40904,0.81868,0.97797,0.95888,0.98212,0.78525,0.80628,0.39113,0.81211,0.0011486,0.0011486,0.0011486
45,700.506,0.7735,0.40464,0.8174,0.98387,0.95101,0.98171,0.80156,0.71721,0.38451,0.81217,0.0011288,0.0011288,0.0011288
46,709.386,0.74634,0.39061,0.81303,0.98647,0.95983,0.9827,0.80724,0.75122,0.37995,0.81225,0.001109,0.001109,0.001109
47,721.96,0.74416,0.3896,0.81221,0.98971,0.95369,0.9824,0.80562,0.72223,0.37863,0.8149,0.0010892,0.0010892,0.0010892
48,732.513,0.76309,0.39449,0.81364,0.98353,0.95321,0.98191,0.8025,0.74606,0.38176,0.81311,0.0010694,0.0010694,0.0010694
49,741.343,0.74888,0.39001,0.81403,0.98486,0.94849,0.98159,0.80556,0.71923,0.37212,0.81242,0.0010496,0.0010496,0.0010496
50,750.252,0.72922,0.38522,0.81432,0.9842,0.95227,0.9819,0.80755,0.73022,0.375,0.81239,0.0010298,0.0010298,0.0010298
51,759.158,0.73033,0.38331,0.81263,0.98449,0.9518,0.98193,0.80871,0.72303,0.37103,0.81194,0.00101,0.00101,0.00101
52,768.1,0.71048,0.37541,0.8116,0.98451,0.95227,0.98219,0.81899,0.68792,0.35771,0.81012,0.0009902,0.0009902,0.0009902
53,776.945,0.7135,0.37784,0.8125,0.99066,0.95226,0.98271,0.81686,0.70339,0.37088,0.80976,0.0009704,0.0009704,0.0009704
54,785.822,0.69349,0.3691,0.81201,0.99113,0.95558,0.98242,0.82262,0.69699,0.36355,0.80993,0.0009506,0.0009506,0.0009506
55,794.734,0.73022,0.37666,0.81253,0.98823,0.95253,0.98202,0.78322,0.80393,0.39796,0.81692,0.0009308,0.0009308,0.0009308
56,803.527,0.77031,0.39501,0.81458,0.97918,0.95561,0.98114,0.79559,0.7667,0.39109,0.81304,0.000911,0.000911,0.000911
57,812.246,0.74485,0.38515,0.81299,0.98346,0.95888,0.98158,0.79601,0.74041,0.38466,0.81292,0.0008912,0.0008912,0.0008912
58,821.083,0.7151,0.3782,0.81204,0.98832,0.94802,0.98196,0.81245,0.69604,0.36685,0.81134,0.0008714,0.0008714,0.0008714
59,829.815,0.70239,0.369,0.81029,0.98539,0.95841,0.982,0.81233,0.67392,0.36317,0.80995,0.0008516,0.0008516,0.0008516
60,838.628,0.71873,0.37841,0.81016,0.99067,0.95392,0.98252,0.81137,0.72329,0.37864,0.81241,0.0008318,0.0008318,0.0008318
61,847.651,0.69204,0.37138,0.81023,0.98776,0.95313,0.98204,0.8133,0.71476,0.36604,0.81182,0.000812,0.000812,0.000812
62,856.634,0.68655,0.36794,0.80974,0.98968,0.95152,0.98218,0.80786,0.70834,0.36529,0.81355,0.0007922,0.0007922,0.0007922
63,865.64,0.68666,0.3667,0.81113,0.99246,0.95416,0.98226,0.81368,0.70535,0.36668,0.81029,0.0007724,0.0007724,0.0007724
64,874.66,0.6844,0.36415,0.80965,0.99164,0.9526,0.98197,0.82715,0.6574,0.36553,0.80843,0.0007526,0.0007526,0.0007526
65,883.656,0.67482,0.36304,0.80873,0.99129,0.95321,0.98254,0.82037,0.66835,0.36039,0.81085,0.0007328,0.0007328,0.0007328
66,892.586,0.68787,0.36203,0.80883,0.99231,0.95463,0.98245,0.8291,0.65182,0.34975,0.80943,0.000713,0.000713,0.000713
67,901.554,0.68301,0.35966,0.80914,0.99311,0.95348,0.98314,0.8233,0.67865,0.34816,0.81037,0.0006932,0.0006932,0.0006932
68,910.55,0.66597,0.35608,0.80675,0.98827,0.9556,0.98234,0.81516,0.70002,0.35847,0.81141,0.0006734,0.0006734,0.0006734
69,919.37,0.6722,0.36032,0.81109,0.9907,0.95608,0.98233,0.82483,0.67777,0.35608,0.80951,0.0006536,0.0006536,0.0006536
